iter	Passed	Remaining
0	19	9791
1	33	8351
2	46	7779
3	61	7647
4	77	7703
5	91	7526
6	104	7388
7	117	7239
8	130	7135
9	143	7052
10	157	6980
11	171	6959
12	184	6906
13	197	6860
14	211	6829
15	224	6793
16	237	6750
17	250	6719
18	263	6675
19	277	6653
20	292	6666
21	307	6678
22	321	6664
23	335	6654
24	349	6643
25	364	6642
26	379	6649
27	394	6643
28	408	6633
29	422	6613
30	436	6604
31	450	6588
32	464	6571
33	477	6546
34	490	6521
35	504	6508
36	517	6478
37	531	6460
38	544	6441
39	558	6422
40	572	6405
41	585	6387
42	598	6360
43	610	6330
44	624	6317
45	638	6299
46	651	6281
47	664	6261
48	677	6237
49	690	6210
50	703	6189
51	716	6172
52	729	6153
53	743	6138
54	756	6117
55	769	6100
56	783	6091
57	796	6070
58	809	6053
59	823	6036
60	836	6019
61	849	6002
62	863	5986
63	875	5965
64	889	5949
65	901	5930
66	914	5912
67	927	5895
68	941	5882
69	954	5862
70	967	5848
71	981	5834
72	994	5819
73	1007	5800
74	1021	5787
75	1034	5771
76	1047	5757
77	1061	5742
78	1075	5732
79	1090	5724
80	1104	5714
81	1118	5702
82	1132	5688
83	1145	5671
84	1159	5660
85	1172	5644
86	1186	5631
87	1199	5617
88	1214	5606
89	1227	5591
90	1240	5576
91	1253	5559
92	1267	5547
93	1281	5535
94	1295	5521
95	1308	5505
96	1321	5490
97	1334	5476
98	1348	5460
99	1361	5444
100	1374	5428
101	1387	5414
102	1400	5397
103	1413	5382
104	1427	5369
105	1440	5354
106	1453	5338
107	1469	5332
108	1482	5318
109	1495	5302
110	1508	5287
111	1522	5273
112	1535	5259
113	1548	5243
114	1562	5230
115	1575	5215
116	1588	5198
117	1601	5183
118	1613	5167
119	1627	5153
120	1640	5138
121	1653	5123
122	1666	5108
123	1679	5093
124	1692	5078
125	1705	5063
126	1718	5047
127	1732	5034
128	1746	5023
129	1760	5011
130	1775	5001
131	1793	5000
132	1807	4986
133	1822	4977
134	1835	4963
135	1848	4947
136	1861	4931
137	1874	4916
138	1887	4901
139	1900	4886
140	1913	4872
141	1927	4858
142	1940	4844
143	1953	4829
144	1966	4814
145	1979	4799
146	1993	4786
147	2006	4771
148	2019	4756
149	2032	4742
150	2046	4729
151	2059	4714
152	2072	4699
153	2085	4685
154	2098	4671
155	2111	4657
156	2124	4641
157	2137	4626
158	2149	4610
159	2163	4596
160	2176	4582
161	2189	4569
162	2202	4554
163	2216	4540
164	2229	4525
165	2242	4512
166	2256	4499
167	2269	4485
168	2283	4471
169	2296	4457
170	2309	4443
171	2323	4431
172	2337	4418
173	2350	4403
174	2363	4390
175	2376	4375
176	2390	4361
177	2402	4346
178	2416	4333
179	2429	4319
180	2442	4305
181	2456	4291
182	2469	4277
183	2482	4263
184	2495	4249
185	2508	4234
186	2521	4221
187	2535	4207
188	2548	4193
189	2561	4180
190	2575	4166
191	2588	4152
192	2601	4137
193	2614	4123
194	2627	4109
195	2641	4097
196	2654	4083
197	2669	4071
198	2690	4069
199	2703	4054
200	2716	4040
201	2729	4027
202	2743	4014
203	2756	3999
204	2770	3986
205	2784	3973
206	2797	3959
207	2811	3946
208	2826	3935
209	2839	3920
210	2852	3907
211	2866	3893
212	2878	3878
213	2891	3864
214	2905	3851
215	2918	3836
216	2931	3822
217	2948	3814
218	2961	3799
219	2974	3785
220	2987	3771
221	3000	3757
222	3014	3744
223	3027	3730
224	3041	3717
225	3054	3703
226	3067	3688
227	3080	3674
228	3094	3661
229	3107	3648
230	3120	3633
231	3133	3619
232	3147	3606
233	3160	3592
234	3173	3578
235	3186	3564
236	3199	3551
237	3213	3537
238	3225	3522
239	3238	3508
240	3252	3495
241	3265	3481
242	3278	3467
243	3292	3454
244	3305	3440
245	3318	3426
246	3332	3413
247	3346	3400
248	3359	3386
249	3373	3373
250	3385	3358
251	3398	3344
252	3411	3330
253	3424	3317
254	3438	3303
255	3451	3289
256	3464	3275
257	3477	3261
258	3490	3248
259	3503	3234
260	3517	3220
261	3530	3207
262	3543	3193
263	3556	3179
264	3569	3165
265	3582	3151
266	3595	3137
267	3608	3123
268	3620	3109
269	3634	3095
270	3647	3082
271	3661	3068
272	3674	3055
273	3687	3041
274	3700	3027
275	3713	3013
276	3726	3000
277	3740	2986
278	3753	2973
279	3766	2959
280	3779	2945
281	3792	2931
282	3805	2918
283	3818	2904
284	3831	2890
285	3844	2877
286	3858	2863
287	3871	2849
288	3884	2835
289	3897	2822
290	3910	2808
291	3923	2795
292	3937	2781
293	3950	2767
294	3963	2753
295	3976	2740
296	3989	2726
297	4002	2713
298	4016	2699
299	4029	2686
300	4043	2673
301	4056	2659
302	4069	2646
303	4083	2632
304	4096	2618
305	4109	2605
306	4122	2591
307	4135	2577
308	4148	2564
309	4161	2550
310	4174	2537
311	4187	2522
312	4199	2508
313	4212	2495
314	4225	2481
315	4238	2468
316	4251	2454
317	4264	2440
318	4277	2427
319	4291	2413
320	4304	2400
321	4317	2386
322	4331	2373
323	4344	2360
324	4358	2346
325	4371	2333
326	4384	2319
327	4398	2306
328	4411	2292
329	4423	2278
330	4437	2265
331	4450	2252
332	4463	2238
333	4477	2225
334	4490	2211
335	4503	2197
336	4516	2184
337	4529	2170
338	4542	2157
339	4556	2144
340	4569	2130
341	4582	2117
342	4595	2103
343	4608	2090
344	4622	2076
345	4635	2063
346	4648	2049
347	4661	2036
348	4674	2022
349	4687	2009
350	4700	1995
351	4713	1981
352	4726	1968
353	4740	1955
354	4753	1941
355	4767	1928
356	4779	1914
357	4792	1901
358	4805	1887
359	4818	1873
360	4830	1860
361	4844	1846
362	4858	1833
363	4870	1819
364	4884	1806
365	4897	1793
366	4910	1779
367	4923	1765
368	4935	1752
369	4948	1738
370	4962	1725
371	4975	1711
372	4988	1698
373	5001	1685
374	5014	1671
375	5027	1658
376	5041	1644
377	5054	1631
378	5067	1617
379	5080	1604
380	5094	1591
381	5107	1577
382	5119	1564
383	5132	1550
384	5146	1537
385	5159	1523
386	5173	1510
387	5185	1496
388	5199	1483
389	5212	1470
390	5225	1456
391	5238	1443
392	5251	1429
393	5265	1416
394	5279	1403
395	5292	1389
396	5306	1376
397	5319	1363
398	5333	1350
399	5350	1337
400	5363	1324
401	5378	1311
402	5391	1297
403	5404	1284
404	5418	1270
405	5431	1257
406	5444	1244
407	5457	1230
408	5471	1217
409	5484	1203
410	5497	1190
411	5510	1177
412	5524	1163
413	5536	1150
414	5550	1136
415	5562	1123
416	5575	1109
417	5589	1096
418	5602	1083
419	5616	1069
420	5628	1056
421	5642	1042
422	5655	1029
423	5668	1016
424	5681	1002
425	5694	989
426	5707	975
427	5720	962
428	5733	948
429	5746	935
430	5759	922
431	5772	908
432	5785	895
433	5797	881
434	5810	868
435	5823	854
436	5836	841
437	5850	828
438	5863	814
439	5877	801
440	5891	788
441	5905	774
442	5918	761
443	5931	748
444	5944	734
445	5957	721
446	5970	707
447	5983	694
448	5997	681
449	6010	667
450	6023	654
451	6037	641
452	6050	627
453	6062	614
454	6075	600
455	6088	587
456	6102	574
457	6115	560
458	6128	547
459	6142	534
460	6155	520
461	6168	507
462	6181	493
463	6194	480
464	6207	467
465	6220	453
466	6234	440
467	6246	427
468	6260	413
469	6273	400
470	6287	387
471	6300	373
472	6313	360
473	6326	347
474	6339	333
475	6353	320
476	6366	306
477	6379	293
478	6392	280
479	6405	266
480	6418	253
481	6431	240
482	6445	226
483	6458	213
484	6472	200
485	6485	186
486	6498	173
487	6512	160
488	6524	146
489	6537	133
490	6549	120
491	6562	106
492	6576	93
493	6589	80
494	6602	66
495	6615	53
496	6628	40
497	6642	26
498	6655	13
499	6668	0
